Numer;Symbol;NrIdent;LiczbaGodzin;Stawka;KolPrzydzDoProj
1;P1;A123;120;20.00;1
2;P1;A124;90;15.00;0
3;P1;A772;10;5.00;0
4;P1;A633;60;18.00;0
5;P1;A633;10;9.00;1
6;P2;A123;80;16.50;0
7;P2;A312;70;27.50;0
8;P2;A431;80;33.00;0
9;P2;A633;40;24.20;1
10;P2;A772;10;8.80;0
11;S1;A772;10;10.00;0
12;S1;A624;150;17.00;0
13;S1;A625;60;30.00;0
14;S2;A284;40;25.00;0
15;S2;A283;60;32.00;0
16;S2;A772;5;12.00;1
17;S2;A431;8;20.00;0
18;S3;A273;300;25.00;0
19;S3;A274;200;27.00;0
20;S3;A772;20;10.00;0
21;S3;A213;100;20.00;0
22;U1;A125;100;17.00;0
23;U1;A621;30;17.00;0
24;U1;A772;10;10.00;0
25;Z2;A124;10;20.00;0
26;Z2;A431;6;25.00;0
27;Z2;A594;30;15.00;0
28;Z4;A594;20;12.00;0
29;Z4;A621;10;14.00;0
